Date,Open,High,Low,Close,Adj Close,Volume
11/10/2017,6.13,6.15,6.13,6.14,6.14,273847
12/10/2017,6.15,6.16,6.14,6.15,6.15,241707
13/10/2017,6.15,6.17,6.15,6.17,6.17,159212
16/10/2017,6.17,6.22,6.17,6.2,6.2,422890
17/10/2017,6.2,6.24,6.2,6.23,6.23,350362
18/10/2017,6.24,6.24,6.18,6.18,6.18,186359
19/10/2017,6.19,6.22,6.19,6.2,6.2,638763
20/10/2017,6.18,6.18,6.12,6.17,6.17,354021
24/10/2017,6.18,6.22,6.16,6.21,6.21,301130
25/10/2017,6.21,6.24,6.21,6.23,6.23,396153
26/10/2017,6.23,6.26,6.22,6.26,6.26,685697
27/10/2017,6.26,6.29,6.23,6.29,6.29,1305706
30/10/2017,6.29,6.33,6.29,6.32,6.32,798422
31/10/2017,6.32,6.36,6.32,6.36,6.36,844434
01/11/2017,6.36,6.43,6.36,6.41,6.41,962836
02/11/2017,6.4,6.4,6.32,6.32,6.32,382173
03/11/2017,6.3,6.31,6.25,6.29,6.29,472053
06/11/2017,6.29,6.3,6.29,6.3,6.3,175737
07/11/2017,6.29,6.3,6.28,6.3,6.3,281783
08/11/2017,6.29,6.3,6.28,6.3,6.3,596534
09/11/2017,6.29,6.3,6.27,6.27,6.27,443638
10/11/2017,6.29,6.3,6.28,6.28,6.28,163771
13/11/2017,6.29,6.31,6.28,6.3,6.3,652279
14/11/2017,6.29,6.3,6.27,6.29,6.29,469080
15/11/2017,6.27,6.29,6.27,6.28,6.28,237748
16/11/2017,6.28,6.3,6.28,6.3,6.3,675769
17/11/2017,6.3,6.3,6.29,6.3,6.3,423230
20/11/2017,6.3,6.31,6.29,6.29,6.29,571478
21/11/2017,6.3,6.32,6.3,6.32,6.32,998129
22/11/2017,6.32,6.35,6.32,6.33,6.33,804334
23/11/2017,6.33,6.35,6.33,6.34,6.34,485418
24/11/2017,6.34,6.35,6.33,6.34,6.34,1023771
27/11/2017,6.34,6.35,6.33,6.35,6.35,994712
28/11/2017,6.35,6.36,6.34,6.36,6.36,1160575
29/11/2017,6.36,6.37,6.34,6.34,6.34,577395
30/11/2017,6.35,6.37,6.35,6.36,6.36,629362
01/12/2017,6.34,6.4,6.34,6.4,6.4,919404
04/12/2017,6.39,6.39,6.32,6.32,6.32,658604
05/12/2017,6.32,6.36,6.32,6.35,6.35,292635
06/12/2017,6.35,6.38,6.35,6.38,6.38,240306
07/12/2017,6.36,6.4,6.36,6.4,6.4,132599
08/12/2017,6.39,6.39,6.36,6.36,6.36,242283
11/12/2017,6.35,6.38,6.35,6.38,6.38,160810
12/12/2017,6.39,6.4,6.38,6.39,6.39,385103
13/12/2017,6.39,6.4,6.38,6.4,6.4,186994
14/12/2017,6.4,6.4,6.39,6.4,6.4,228825
15/12/2017,6.4,6.4,6.39,6.39,6.39,316598
18/12/2017,6.39,6.39,6.37,6.37,6.37,313276
19/12/2017,6.38,6.39,6.38,6.39,6.39,146451
20/12/2017,6.38,6.4,6.37,6.4,6.4,473608
21/12/2017,6.4,6.4,6.39,6.4,6.4,351427
22/12/2017,6.4,6.4,6.39,6.4,6.4,198503
27/12/2017,6.4,6.4,6.39,6.4,6.4,142643
28/12/2017,6.4,6.4,6.39,6.4,6.4,123666
29/12/2017,6.4,6.4,6.39,6.39,6.39,72281
03/01/2018,6.4,6.41,6.38,6.38,6.38,330413
04/01/2018,6.38,6.41,6.38,6.4,6.4,72000
05/01/2018,6.4,6.41,6.4,6.41,6.41,135363
08/01/2018,6.41,6.45,6.41,6.43,6.43,453610
09/01/2018,6.45,6.52,6.45,6.48,6.48,647299
10/01/2018,6.51,6.54,6.51,6.53,6.53,584424
11/01/2018,6.53,6.62,6.53,6.6,6.6,805463
12/01/2018,6.6,6.68,6.58,6.68,6.68,529699
